
   INFO  Server running on [http://127.0.0.1:1111].  

  Press Ctrl+C to stop the server
  2026-04-11 00:14:50 /api/v1/dashboard/dosen ...................... ~ 0.12ms
  2026-04-11 00:14:50 /favicon.ico ................................. ~ 0.05ms
  2026-04-11 00:14:50 /favicon.ico ................................. ~ 0.12ms
  2026-04-11 00:14:51 /api/v1/portfolios ......................... ~ 502.52ms
  2026-04-11 00:14:51 /favicon.ico ................................. ~ 0.05ms
  2026-04-11 00:14:58 /api/v1/payments ............................. ~ 0.17ms
  2026-04-11 00:14:58 /favicon.ico ................................. ~ 0.59ms
  2026-04-11 00:15:03 /api/v1/dashboard/dosen ...................... ~ 0.49ms
  2026-04-11 00:15:03 /favicon.ico ................................. ~ 0.15ms
  2026-04-11 00:27:08 /favicon.ico ............................... ~ 502.24ms
  2026-04-11 00:28:07 /dashboard .................................. ~ 19.06ms
  2026-04-11 00:28:07 /assets/index-jLg8BU3V.js .................... ~ 0.17ms
  2026-04-11 00:28:07 /assets/index-DGrjCIcw.css ................... ~ 1.73ms
  2026-04-11 00:28:07 /api/v1/me ................................. ~ 504.55ms
  2026-04-11 00:28:07 /favicon.ico ................................. ~ 0.08ms
  2026-04-11 00:28:07 /api/v1/captcha .............................. ~ 0.79ms
  2026-04-11 00:28:07 /favicon.ico ................................. ~ 2.91ms
  2026-04-11 00:28:14 /api/v1/login .............................. ~ 503.35ms
  2026-04-11 00:28:15 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 00:28:15 /api/v1/dashboard/admin ...................... ~ 0.05ms
  2026-04-11 00:28:22 /simulation .................................. ~ 6.27ms
  2026-04-11 00:28:23 /assets/index-DGrjCIcw.css ................... ~ 0.18ms
  2026-04-11 00:28:23 /assets/index-jLg8BU3V.js .................. ~ 501.27ms
  2026-04-11 00:28:24 /api/v1/me ................................... ~ 0.18ms
  2026-04-11 00:28:24 /api/v1/captcha ............................ ~ 504.14ms
  2026-04-11 00:28:24 /favicon.ico ............................... ~ 505.16ms
  2026-04-11 00:28:33 /api/v1/login .............................. ~ 505.79ms
  2026-04-11 00:28:34 /api/v1/dashboard/dosen ...................... ~ 0.12ms
  2026-04-11 00:28:34 /favicon.ico ................................. ~ 0.51ms
  2026-04-11 00:28:39 /favicon.ico ................................. ~ 0.18ms
  2026-04-11 00:29:13 /api/v1/simulations .......................... ~ 0.67ms
  2026-04-11 00:29:20 /api/v1/portfolios ......................... ~ 506.62ms
  2026-04-11 00:29:21 /favicon.ico ................................. ~ 0.21ms
  2026-04-11 00:29:23 /favicon.ico ................................. ~ 0.13ms
  2026-04-11 00:33:15 /api/v1/dashboard/admin ...................... ~ 3.17ms
  2026-04-11 00:33:28 /simulation .................................. ~ 1.00ms
  2026-04-11 00:33:28 /assets/index-jLg8BU3V.js .................... ~ 0.09ms
  2026-04-11 00:33:28 /assets/index-DGrjCIcw.css ................... ~ 0.43ms
  2026-04-11 00:33:29 /api/v1/me ................................... ~ 0.19ms
  2026-04-11 00:33:29 /favicon.ico ................................. ~ 0.15ms
  2026-04-11 00:34:21 /simulation .................................. ~ 2.57ms
  2026-04-11 00:34:21 /assets/index-IzBzUg0O.js .................... ~ 0.09ms
  2026-04-11 00:34:21 /assets/index-VEH04um4.css ................... ~ 0.06ms
  2026-04-11 00:34:21 /api/v1/me ................................... ~ 0.17ms
  2026-04-11 00:34:22 /favicon.ico ................................. ~ 0.15ms
  2026-04-11 00:34:22 /favicon.ico ................................. ~ 0.13ms
  2026-04-11 00:34:22 /api/v1/captcha .............................. ~ 0.07ms
  2026-04-11 00:34:22 /favicon.ico ................................. ~ 0.65ms
  2026-04-11 00:34:28 /api/v1/login ................................ ~ 0.39ms
  2026-04-11 00:34:28 /api/v1/dashboard/dosen .................... ~ 503.69ms
  2026-04-11 00:34:29 /favicon.ico ................................. ~ 0.14ms
  2026-04-11 00:34:31 /favicon.ico ................................. ~ 0.12ms
  2026-04-11 00:38:16 /api/v1/dashboard/admin .................... ~ 506.29ms
  2026-04-11 00:38:18 /api/v1/payments ........................... ~ 504.34ms
  2026-04-11 00:38:18 /favicon.ico ................................. ~ 0.10ms
  2026-04-11 00:38:19 /api/v1/dashboard/admin ...................... ~ 0.30ms
  2026-04-11 00:38:19 /favicon.ico ................................. ~ 0.09ms
  2026-04-11 00:38:58 /simulation .................................. ~ 0.63ms
  2026-04-11 00:38:58 /assets/index-BEaApTrf.css ................... ~ 0.20ms
  2026-04-11 00:38:58 /assets/index-T45kcmxf.js .................. ~ 506.07ms
  2026-04-11 00:38:59 /api/v1/me ................................. ~ 504.82ms
  2026-04-11 00:39:00 /favicon.ico ................................. ~ 0.17ms
  2026-04-11 00:42:17 /api/v1/simulations .......................... ~ 2.89ms
  2026-04-11 00:42:31 /api/v1/simulations .......................... ~ 0.80ms
  2026-04-11 00:42:34 /api/v1/payments ........................... ~ 502.44ms
  2026-04-11 00:42:34 /favicon.ico ................................. ~ 0.06ms
